shoal,fish_id,time,parasite_intensity
O,UB,5,0
O,UB,6,0
O,UB,7,0
O,UB,8,0
O,UB,9,0
O,UB,10,0
O,ULG,1,0
O,ULG,2,0
O,ULG,3,0
O,ULG,4,0
O,ULG,5,0
O,ULG,6,0
O,ULG,7,0
O,ULG,8,0
O,ULG,9,0
O,ULG,10,0
O,LB,1,0
O,LB,2,0
O,LB,3,0
O,LB,4,0
O,LB,5,0
O,LB,6,0
O,LB,7,0
O,LB,8,0
O,LB,9,0
O,LB,10,0
O,UG,1,0
O,UG,2,0
O,UG,3,0
O,UG,4,0
O,UG,5,0
O,UG,6,0
O,UG,7,0
O,UG,8,0
O,UG,9,0
O,UG,10,0
O,LG,1,0
O,LG,2,0
O,LG,3,0
O,LG,4,0
O,LG,5,0
O,LG,6,0
O,LG,7,0
O,LG,8,0
O,LG,9,0
O,LG,10,0
O,ULB,1,0
O,ULB,2,0
O,ULB,3,0
O,ULB,4,0
O,ULB,5,0
O,ULB,6,0
O,ULB,7,0
O,ULB,8,0
O,ULB,9,0
O,ULB,10,0
K,UB,1,0
K,UB,2,0
K,UB,3,0
K,UB,4,0
K,UB,5,0
K,UB,6,0
K,UB,7,0
K,UB,8,0
K,UB,9,0
K,UB,10,0
K,ULG,1,0
K,ULG,2,0
K,ULG,3,0
K,ULG,4,0
K,ULG,5,0
K,ULG,6,0
K,ULG,7,0
K,ULG,8,0
K,ULG,9,0
K,ULG,10,0
K,LB,1,0
K,LB,2,0
K,LB,3,0
K,LB,4,0
K,LB,5,0
K,LB,6,0
K,LB,7,0
K,LB,8,0
K,LB,9,0
K,LB,10,0
K,UG,1,0
K,UG,2,0
K,UG,3,0
K,UG,4,0
K,UG,5,0
K,UG,6,0
K,UG,7,0
K,UG,8,0
K,UG,9,0
K,UG,10,0
K,LG,1,0
K,LG,2,0
K,LG,3,0
K,LG,4,0
K,LG,5,0
K,LG,6,0
K,LG,7,0
K,LG,8,0
K,LG,9,0
K,LG,10,0
K,ULB,1,0
K,ULB,2,0
K,ULB,3,0
K,ULB,4,0
K,ULB,5,0
K,ULB,6,0
K,ULB,7,0
K,ULB,8,0
K,ULB,9,0
K,ULB,10,0
L,UB,1,0
L,UB,2,0
L,UB,3,0
L,UB,4,0
L,UB,5,0
L,UB,6,0
L,UB,7,0
L,UB,8,1
L,UB,9,2
L,UB,10,4
L,ULG,1,0
L,ULG,2,0
L,ULG,3,0
L,ULG,4,0
L,ULG,5,0
L,ULG,6,0
L,ULG,7,0
L,ULG,8,1
L,ULG,9,2
L,ULG,10,2
L,LB,1,0
L,LB,2,0
L,LB,3,0
L,LB,4,0
L,LB,5,0
L,LB,6,0
L,LB,7,0
L,LB,8,0
L,LB,9,1
L,LB,10,1
L,UG,1,0
L,UG,2,0
L,UG,3,0
L,UG,4,0
L,UG,5,0
L,UG,6,36
L,UG,7,59
L,UG,8,84
L,UG,9,88
L,UG,10,107
L,LG,1,0
L,LG,2,0
L,LG,3,0
L,LG,4,0
L,LG,5,0
L,LG,6,0
L,LG,7,2
L,LG,8,3
L,LG,9,5
L,LG,10,9
L,ULB,1,0
L,ULB,2,0
L,ULB,3,0
L,ULB,4,0
L,ULB,5,0
L,ULB,6,0
L,ULB,7,0
L,ULB,8,0
L,ULB,9,0
L,ULB,10,1
J,UB,1,0
J,UB,2,0
J,UB,3,0
J,UB,4,0
J,UB,5,0
J,UB,6,0
J,UB,7,1
J,UB,8,1
J,UB,9,0
J,UB,10,0
J,ULG,1,0
J,ULG,2,0
J,ULG,3,0
J,ULG,4,0
J,ULG,5,0
J,ULG,6,0
J,ULG,7,0
J,ULG,8,0
J,ULG,9,1
J,ULG,10,1
J,LB,1,0
J,LB,2,0
J,LB,3,0
J,LB,4,0
J,LB,5,0
J,LB,6,0
J,LB,7,0
J,LB,8,0
J,LB,9,2
J,LB,10,2
J,UG,1,0
J,UG,2,0
J,UG,3,0
J,UG,4,0
J,UG,5,0
J,UG,6,48
J,UG,7,63
J,UG,8,78
J,UG,9,90
J,UG,10,98
J,LG,1,0
J,LG,2,0
J,LG,3,0
J,LG,4,0
J,LG,5,0
J,LG,6,0
J,LG,7,0
J,LG,8,0
J,LG,9,0
J,LG,10,1
J,ULB,1,0
J,ULB,2,0
J,ULB,3,0
J,ULB,4,0
J,ULB,5,0
J,ULB,6,0
J,ULB,7,0
J,ULB,8,2
J,ULB,9,5
J,ULB,10,8
H,UB,1,0
H,UB,2,0
H,UB,3,0
H,UB,4,0
H,UB,5,0
H,UB,6,0
H,UB,7,0
H,UB,8,0
H,UB,9,0
H,UB,10,0
H,ULG,1,0
H,ULG,2,0
H,ULG,3,0
H,ULG,4,0
H,ULG,5,0
H,ULG,6,0
H,ULG,7,0
H,ULG,8,0
H,ULG,9,0
H,ULG,10,0
H,LB,1,0
H,LB,2,0
H,LB,3,0
H,LB,4,0
H,LB,5,0
H,LB,6,0
H,LB,7,0
H,LB,8,0
H,LB,9,0
H,LB,10,0
H,UG,1,0
H,UG,2,0
H,UG,3,0
H,UG,4,0
H,UG,5,0
H,UG,6,0
H,UG,7,0
H,UG,8,0
H,UG,9,0
H,UG,10,0
H,LG,1,0
H,LG,2,0
H,LG,3,0
H,LG,4,0
H,LG,5,0
H,LG,6,0
H,LG,7,0
H,LG,8,0
H,LG,9,0
H,LG,10,0
H,ULB,1,0
H,ULB,2,0
H,ULB,3,0
H,ULB,4,0
H,ULB,5,0
H,ULB,6,0
H,ULB,7,0
H,ULB,8,0
H,ULB,9,0
H,ULB,10,0
G,UB,1,0
G,UB,2,0
G,UB,3,0
G,UB,4,0
G,UB,5,0
G,UB,6,46
G,UB,7,71
G,UB,8,99
G,UB,9,148
G,UB,10,162
G,ULG,1,0
G,ULG,2,0
G,ULG,3,0
G,ULG,4,0
G,ULG,5,0
G,ULG,6,0
G,ULG,7,0
G,ULG,8,0
G,ULG,9,0
G,ULG,10,0
G,LB,1,0
G,LB,2,0
G,LB,3,0
G,LB,4,0
G,LB,5,0
G,LB,6,0
G,LB,7,0
G,LB,8,0
G,LB,9,0
G,LB,10,1
G,UG,1,0
G,UG,2,0
G,UG,3,0
G,UG,4,0
G,UG,5,0
G,UG,6,0
G,UG,7,0
G,UG,8,0
G,UG,9,4
G,UG,10,6
G,LG,1,0
G,LG,2,0
G,LG,3,0
G,LG,4,0
G,LG,5,0
G,LG,6,0
G,LG,7,0
G,LG,8,0
G,LG,9,0
G,LG,10,1
G,ULB,1,0
G,ULB,2,0
G,ULB,3,0
G,ULB,4,0
G,ULB,5,0
G,ULB,6,0
G,ULB,7,0
G,ULB,8,0
G,ULB,9,0
G,ULB,10,0
I,UB,1,0
I,UB,2,0
I,UB,3,0
I,UB,4,0
I,UB,5,0
I,UB,6,0
I,UB,7,0
I,UB,8,1
I,UB,9,2
I,UB,10,3
I,ULG,1,0
I,ULG,2,0
I,ULG,3,0
I,ULG,4,0
I,ULG,5,0
I,ULG,6,0
I,ULG,7,0
I,ULG,8,0
I,ULG,9,1
I,ULG,10,2
I,LB,1,0
I,LB,2,0
I,LB,3,0
I,LB,4,0
I,LB,5,0
I,LB,6,0
I,LB,7,0
I,LB,8,0
I,LB,9,0
I,LB,10,0
I,UG,1,0
I,UG,2,0
I,UG,3,0
I,UG,4,0
I,UG,5,0
I,UG,6,0
I,UG,7,0
I,UG,8,0
I,UG,9,1
I,UG,10,2
I,LG,1,0
I,LG,2,0
I,LG,3,0
I,LG,4,0
I,LG,5,0
I,LG,6,0
I,LG,7,0
I,LG,8,0
I,LG,9,1
I,LG,10,2
I,ULB,1,0
I,ULB,2,0
I,ULB,3,0
I,ULB,4,0
I,ULB,5,0
I,ULB,6,53
I,ULB,7,73
I,ULB,8,90
I,ULB,9,130
I,ULB,10,182
